neighborhood,title,price,bedrooms,pid,sourcepage,link,date,sqft,longitude,latitude
san jose south,Spacious 3 bed 2 bath duplex with 2 car garage and private yard ,2500.0,3.0,4761919274,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761919274.html,2014-11-14 16:17,1550.0,-121.80566200000001,37.246243
los gatos,Furnished Los Gatos Winery Cottage,2500.0,,4761889414,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761889414.html,2014-11-14 16:16,500.0,-121.995651,37.188247
cupertino,Updated Executive Home in Cupertino Ready to Rent!,4300.0,4.0,4761916879,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761916879.html,2014-11-14 16:15,2100.0,-122.03166999999999,37.327222
san jose west,大折扣两室一卫公寓出,1880.0,2.0,4761914983,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761914983.html,2014-11-14 16:14,,-121.96652399999999,37.303774
san jose downtown,Amazing efficiency unit at Axis ready NOW!,2500.0,,4761916101,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761916101.html,2014-11-14 16:14,,-121.896125,37.334579
san jose west,Big Discount near Santana Row Spacious 2 BR 1 bath at West San Jose,1880.0,2.0,4761915457,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761915457.html,2014-11-14 16:14,,-121.96652399999999,37.303587
santa clara,Now Leasing-2 Bedroom 2 Bathroom in Santa Clara,3320.0,2.0,4761893355,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761893355.html,2014-11-14 16:14,987.0,-121.91142099999999,37.317615
cupertino,Cupertino duplex,2550.0,2.0,4761914399,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761914399.html,2014-11-14 16:13,1100.0,,
willow glen / cambrian,Ultra Chic 20ft. Celing Loft - Modern Living! $1000 Off 1st Mo's Rent!,3286.0,2.0,4755165277,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4755165277.html,2014-11-14 16:11,1170.0,-121.91051999999999,37.316899
santa clara,Gated Community 3br/2b ,3450.0,2.0,4761884429,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761884429.html,2014-11-14 16:11,1185.0,-121.977869,37.344015
