neighborhood,title,price,bedrooms,pid,longitude,sourcepage,link,date,latitude,sqft
,,,,4761891992,-122.103993,,,,37.401162,
,,,,4761891400,-122.291780,,,,37.544850,
,,,,4761862158,-122.072268,,,,37.397369,
,,,,4761850765,-122.325998,,,,37.560763,
,,,,4758318144,-122.193609,,,,37.478088,
,,,,,,,,,,
,,,,,,,,,,
,,,,4761862323,-122.403136,,,,37.595092,
,,,,4761912798,-122.428990,,,,37.773248,
,,,,4761905309,-122.396951,,,,37.772430,
,,,,4761910324,-122.440345,,,,37.755228,
,,,,4761913682,-122.466199,,,,37.714280,
,,,,4751607641,-122.468607,,,,37.781413,
,,,,4734707220,-122.412838,,,,37.790600,
,,,,4743515580,-122.489985,,,,37.747688,
,,,,4761896924,-122.443279,,,,37.776953,
,,,,4761893355,-121.911421,,,,37.317615,
,,,,4761881567,-121.902268,,,,37.253503,
,,,,,,,,,,
,,,,4755165277,-121.910520,,,,37.316899,
,,,,4761884429,-121.977869,,,,37.344015,
,,,,4761777639,-121.944380,,,,37.395664,
,,,,,,,,,,
,,,,4755069201,-122.242663,,,,37.537653,
,,,,4761884956,-122.038128,,,,37.332631,
,,,,4751964439,-122.361345,,,,37.580977,
,,,,,,,,,,
,,,,4761871728,-122.299800,,,,37.539500,
,,,,4761844987,-122.088211,,,,37.396960,
,,,,4761855469,-122.098553,,,,37.395403,
,,,,4751031576,-122.296867,,,,37.524793,
,,,,4761844218,-122.224188,,,,37.464452,
,,,,4761907341,-122.413083,,,,37.794679,
,,,,4761907319,-122.419882,,,,37.773281,
,,,,4761904118,-122.452896,,,,37.780363,
,,,,,,,,,,
,,,,4761899823,-122.420369,,,,37.805720,
,,,,4761896530,-122.386700,,,,37.769400,
,,,,4761899527,-122.445864,,,,37.759484,
,,,,4761893099,-122.421704,,,,37.746412,
,,,,4761879708,-122.428977,,,,37.736388,
,,,,4761896987,-121.402528,,,,36.839802,
,,,,4725896448,-122.017508,,,,37.357912,
,,,,4761889653,-122.028871,,,,37.381040,
,,,,,,,,,,
,,,,4745103118,-122.017014,,,,37.357776,
,,,,4736200381,-121.833320,,,,37.361193,
,,,,4761849033,-122.637496,,,,38.233516,
,,,,4736151623,-121.846060,,,,37.385241,
,,,,,,,,,,
,,,,4761874239,-122.726498,,,,38.434112,
,,,,,,,,,,
,,,,4749554424,-121.940771,,,,37.254950,
,,,,4761881482,-122.786501,,,,38.371014,
,,,,4761881441,-122.480733,,,,37.847829,
,,,,4755401123,-122.221682,,,,38.102492,
,,,,4758645868,-122.247813,,,,38.150606,
,,,,4758760975,-122.247791,,,,38.111160,
,,,,4758752396,-122.214854,,,,38.088381,
,,,,4761903130,-122.216600,,,,37.780600,
,,,,4758757331,-122.214897,,,,38.088483,
,,,,4761901549,-122.264807,,,,37.825362,
,,,,4754874218,-122.252771,,,,37.804229,
,,,,4725351378,-122.103993,,,,37.401162,
,,,,4728445094,-122.103993,,,,37.401162,
,,,,4745965341,-122.307000,,,,37.549296,
,,,,4758159850,-122.103993,,,,37.401162,
,,,,,,,,,,
,,,,4758170021,-122.103993,,,,37.401162,
,,,,4751289631,-122.131126,,,,37.400352,
,,,,4761845248,-122.120268,,,,37.444301,
,,,,4761868226,-122.466037,,,,37.775243,
,,,,4761890593,-122.443649,,,,37.770426,
,,,,4761890146,-122.465309,,,,37.715034,
,,,,4761888583,-122.438112,,,,37.759093,
,,,,4761867652,-122.436121,,,,37.753568,
,,,,4761883358,-122.411900,,,,37.752629,
,,,,4723996329,-122.507234,,,,37.779062,
,,,,4755655004,-122.399047,,,,37.786391,
,,,,,,,,,,
,,,,,,,,,,
,,,,4718087277,-121.821782,,,,37.234323,
,,,,,,,,,,
,,,,4761871160,-122.044900,,,,37.318000,
,,,,4751027895,-122.761560,,,,38.509858,
